Date,Open,High,Low,Close,Volume,Accumulation,Advertising,Alternative Carriers,Analyst Ratings,Bar Chart,Broadcasting,Cable,Dead Cat Bounce,Diversification,Diversified REITs,Economic Bubble,Federal Reserve,Gross Domestic Product,Health Care REITs,Hotel,Industrial REITs,Interactive Media,Market Timing,Movies,ASPUS,HSN1F,ICSA,MSPUS,UNRATE,Real Estate Development,Residential REITs,Retail REITs,Return on Equity,Technical Analysis
4/1/14,70.76999664,70.94000244,70.12999725,70.94000244,5804400,0.059233449,0.039285714,0,0,0.432606941,0.015993266,0.068157895,0,0.622795115,0,-1,0.016949153,-0.344569288,-0.233939394,0.005052632,0,-0.419672131,0.640909091,-0.140625,0.060565829,-0.066953647,-0.098830173,0.07641428,-0.178366446,-0.517045455,0,0,3.089411765,0
4/2/14,70.90000153,71.06999969,70.52999878,71,3266700,0.526785714,0.051658163,0,-1,0.816882685,-0.00308642,-0.016,0,0.622014925,0,-1,-0.060287492,0.317460317,-1,0.058419244,0,0.8,0,-0.033717105,0.060558985,-0.063263894,-0.106494554,0.0761267,-0.177924945,0.48255814,0,0,0.708235294,1.537878788
4/3/14,71.09999847,71.12999725,70.59999847,70.84999847,2372300,1.985714286,0.001579203,0,-1,0.012608516,-0.014492754,0.096511628,0,1.059701493,0,0,-0.13220339,-0.507936508,-1,0.058419244,0,-0.409677419,0,0.1328125,0.060552141,-0.059574141,-0.114158935,0.075839119,-0.177483444,1.79040404,0,0,1.775384615,3.290350877
4/4/14,71.15000153,71.52999878,70.76999664,71.08999634,3600300,-0.48787062,-0.340136054,0,0,-0.135063559,-0.412912913,0.208035714,0,-0.460554371,0,0,-0.536390828,0.136752137,-1,0.006133333,0,-0.285714286,-1,0.419454225,0.060545298,-0.055884388,-0.121823316,0.075551539,-0.177041943,0.112258953,0,0,0.613333333,0.060833333
4/5/14,71.13666789,71.6200002,70.87333171,71.16666412,3681900,-0.547619048,0.039285714,0,0,0.167996012,0.265957447,0.107471264,0,-0.126187246,0,1.186335404,-0.143621766,-0.071684588,-0.03030303,0.048280702,0,-0.618181818,0,0.03125,0.060538454,-0.052194634,-0.123033481,0.075263958,-0.176600442,0.835227273,0,0,0.28,0.291145833
4/6/14,71.12333425,71.71000163,70.97666677,71.24333191,3763500,0.686147186,1.214017186,0,0,0.700442152,0.665204678,0.096511628,0,1.059701493,0,0,0.442648798,0.711111111,-1,0.049230769,0,-0.088,-1,-0.389648438,0.060531611,-0.048504881,-0.124243647,0.074976377,-0.17615894,0.965125392,0,0,3.064761905,0.814583333
4/7/14,71.11000061,71.80000305,71.08000183,71.31999969,3845100,-0.040952381,0.116692831,0,0,0.775,-0.193287037,0.025,0,1.020091848,0,-1,0.33809099,-0.200913242,-1,0.071794872,0,-0.81,-1,-0.041193182,0.060524767,-0.044815128,-0.125453812,0.074688797,-0.175717439,1.483766234,0,0,1.266666667,0.763157895
4/8/14,71.37999725,71.80000305,71.11000061,71.76000214,2935500,-0.404181185,0.168674699,0,-1,0.47784716,-0.515972222,0.098214286,0,-0.022293595,0,-1,-0.068817643,0.118055556,-0.214545455,0.048510638,0,-0.8,0.6921875,0.03125,0.060517923,-0.041125375,-0.126663977,0.074401216,-0.175275938,1.368035191,0,-1,-0.161904762,0.786666667
4/9/14,72,72,71.19999695,71.58000183,4339600,-0.222470238,-0.033493397,0,-1,1.457987739,-0.409722222,0.060344828,0.346153846,0.32032147,0,-1,-0.298305085,-0.502863688,-1,0.016082474,0,-0.548148148,0.684090909,0.0546875,0.06051108,-0.037435621,-0.127874143,0.074113635,-0.174834437,-0.202075099,0,0,-0.5776,2.025806452
4/10/14,71.69000244,71.98000336,70.70999908,70.90000153,4136300,-0.370600414,-0.061622051,0,-1,0.049109083,0.099502488,0.060344828,0,-0.680746269,0,1.374953549,-0.322033898,-0.403348554,-0.156363636,0.070824373,0,-1,-1,0.348761792,0.060504236,-0.033745868,-0.129084308,0.073826055,-0.174392936,-0.15872434,0,0,-0.154509804,0.624242424
